                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.061,                 3.6525,                 1.7218,                 0.0032,                 0.0743,                0.01703,                0.01007,                 2.2903,                 4.6274,                 2.5919,             0.00011875,             0.00011875,             0.00011875
                      1,                 1.5789,                 3.1931,                  1.452,                0.30793,                0.02549,                0.04589,                0.02951,                 1.8622,                 4.1198,                 2.0502,             0.00024134,             0.00024134,             0.00024134
                      2,                 1.3531,                 2.8177,                 1.3259,                0.11744,                0.29527,                0.14804,                0.10986,                 1.0942,                 2.8619,                 1.1991,             0.00036145,             0.00036145,             0.00036145
                      3,                 1.2475,                 2.4924,                 1.2263,                0.19621,                0.46922,                0.24947,                0.18921,                 0.9322,                 2.2411,                 1.0537,             0.00047909,             0.00047909,             0.00047909
                      4,                 1.1696,                 2.2605,                 1.1864,                0.25761,                0.59578,                0.35651,                0.27473,                0.91393,                 1.9062,                 1.0531,             0.00059425,             0.00059425,             0.00059425
                      5,                 1.0885,                 2.0403,                 1.1642,                0.43227,                 0.6237,                 0.4801,                0.38385,                0.82188,                 1.7335,                   1.06,             0.00059406,             0.00059406,             0.00059406
                      6,                 1.0749,                 1.8957,                 1.1359,                0.46074,                0.74319,                0.56044,                0.44878,                0.82565,                  1.554,                 1.0661,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.0345,                  1.781,                  1.116,                0.45137,                0.76756,                0.61556,                0.49256,                 0.8128,                 1.4179,                 1.0424,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.0065,                 1.6606,                 1.0998,                0.58088,                0.70731,                0.70409,                0.57542,                0.75059,                 1.2794,                 1.0179,             0.00058169,             0.00058169,             0.00058169
                      9,                0.95503,                 1.5578,                 1.0745,                0.56224,                0.77355,                0.71859,                0.57968,                0.77778,                 1.2367,                 1.0096,              0.0005755,              0.0005755,              0.0005755
